Removed Member From Class: ClassName=MCU_LED[1..28] Member=MCU_RELAY3
Added Pin To Net: NetName=MCU_RELAY11 Pin=R3_3-2
Added Pin To Net: NetName=MCU_LED14 Pin=R3_4-2
Added Pin To Net: NetName=MCU_LED28 Pin=R3_8-2
Added Pin To Net: NetName=MCU_LED10 Pin=R4_3-2
Added Pin To Net: NetName=MCU_LED24 Pin=R4_7-2
Added Pin To Net: NetName=MCU_RELAY3 Pin=R5_1-2
Added Pin To Net: NetName=MCU_LED13 Pin=R5_4-2
Added Pin To Net: NetName=MCU_RELAY24 Pin=R5_7-2
Added Pin To Net: NetName=MCU_LED12 Pin=R9_4-2
Added Pin To Net: NetName=MCU_RELAY23 Pin=R9_7-2
Added Pin To Net: NetName=MCU_LED26 Pin=R9_8-2
Added Pin To Net: NetName=MCU_LED22 Pin=R10_7-2
Added Pin To Net: NetName=MCU_RELAY26 Pin=R10_8-2
Added Pin To Net: NetName=MCU_LED11 Pin=R31_4-2
Added Pin To Net: NetName=MCU_RELAY22 Pin=R31_7-2
Added Pin To Net: NetName=MCU_RELAY1 Pin=U4-1
Added Pin To Net: NetName=MCU_LED1 Pin=U4-2
Added Pin To Net: NetName=MCU_RELAY2 Pin=U4-3
Added Pin To Net: NetName=MCU_LED2 Pin=U4-4
Added Pin To Net: NetName=MCU_LED3 Pin=U4-7
Added Pin To Net: NetName=MCU_RELAY4 Pin=U4-8
Added Pin To Net: NetName=MCU_LED4 Pin=U4-9
Added Pin To Net: NetName=MCU_RELAY5 Pin=U4-10
Added Pin To Net: NetName=MCU_LED5 Pin=U4-11
Added Pin To Net: NetName=MCU_RELAY6 Pin=U4-12
Added Pin To Net: NetName=MCU_LED6 Pin=U4-13
Added Pin To Net: NetName=MCU_RELAY7 Pin=U4-14
Added Pin To Net: NetName=MCU_LED7 Pin=U4-15
Added Pin To Net: NetName=MCU_RELAY8 Pin=U4-18
Added Pin To Net: NetName=MCU_LED8 Pin=U4-19
Added Pin To Net: NetName=MCU_RELAY9 Pin=U4-20
Added Pin To Net: NetName=MCU_LED9 Pin=U4-21
Added Pin To Net: NetName=MCU_RELAY10 Pin=U4-22
Added Pin To Net: NetName=MCU_RELAY12 Pin=U4-29
Added Pin To Net: NetName=MCU_RELAY13 Pin=U4-35
Added Pin To Net: NetName=MCU_RELAY14 Pin=U4-37
Added Pin To Net: NetName=MCU_MAGNET14 Pin=U4-48
Added Pin To Net: NetName=MCU_MAGNET13 Pin=U4-49
Added Pin To Net: NetName=MCU_MAGNET12 Pin=U4-50
Added Pin To Net: NetName=MCU_MAGNET11 Pin=U4-53
Added Pin To Net: NetName=MCU_MAGNET10 Pin=U4-54
Added Pin To Net: NetName=MCU_MAGNET9 Pin=U4-55
Added Pin To Net: NetName=MCU_MAGNET8 Pin=U4-56
Added Pin To Net: NetName=MCU_MAGNET7 Pin=U4-57
Added Pin To Net: NetName=MCU_MAGNET6 Pin=U4-58
Added Pin To Net: NetName=MCU_MAGNET5 Pin=U4-59
Added Pin To Net: NetName=MCU_MAGNET28 Pin=U4-85
Added Pin To Net: NetName=MCU_MAGNET27 Pin=U4-86
Added Pin To Net: NetName=MCU_MAGNET26 Pin=U4-87
Added Pin To Net: NetName=MCU_MAGNET25 Pin=U4-88
Added Pin To Net: NetName=MCU_MAGNET24 Pin=U4-89
Added Pin To Net: NetName=MCU_MAGNET23 Pin=U4-90
Added Pin To Net: NetName=MCU_MAGNET22 Pin=U4-91
Added Pin To Net: NetName=MCU_MAGNET21 Pin=U4-92
Added Pin To Net: NetName=MCU_MAGNET20 Pin=U4-93
Added Pin To Net: NetName=MCU_MAGNET19 Pin=U4-96
Added Pin To Net: NetName=MCU_MAGNET18 Pin=U4-97
Added Pin To Net: NetName=MCU_MAGNET17 Pin=U4-98
Added Pin To Net: NetName=MCU_MAGNET16 Pin=U4-99
Added Pin To Net: NetName=MCU_MAGNET15 Pin=U4-100
Added Pin To Net: NetName=MCU_RELAY28 Pin=U4-104
Added Pin To Net: NetName=MCU_LED27 Pin=U4-110
Added Pin To Net: NetName=MCU_RELAY27 Pin=U4-111
Added Pin To Net: NetName=MCU_LED25 Pin=U4-114
Added Pin To Net: NetName=MCU_RELAY25 Pin=U4-115
Added Pin To Net: NetName=MCU_LED23 Pin=U4-118
Added Pin To Net: NetName=MCU_LED21 Pin=U4-124
Added Pin To Net: NetName=MCU_RELAY21 Pin=U4-125
Added Pin To Net: NetName=MCU_LED20 Pin=U4-126
Added Pin To Net: NetName=MCU_RELAY20 Pin=U4-127
Added Pin To Net: NetName=MCU_LED19 Pin=U4-128
Added Pin To Net: NetName=MCU_RELAY19 Pin=U4-129
Added Pin To Net: NetName=MCU_LED18 Pin=U4-132
Added Pin To Net: NetName=MCU_RELAY18 Pin=U4-133
Added Pin To Net: NetName=MCU_LED17 Pin=U4-134
Added Pin To Net: NetName=MCU_RELAY17 Pin=U4-135
Added Pin To Net: NetName=MCU_LED16 Pin=U4-139
Added Pin To Net: NetName=MCU_RELAY16 Pin=U4-140
Added Pin To Net: NetName=MCU_LED15 Pin=U4-141
Added Pin To Net: NetName=MCU_RELAY15 Pin=U4-142
Added Member To Class: ClassName=MCU_LED[1..28] Member=Element[1]: MCU_LED
Added Member To Class: ClassName=STM32 Member=Element[1]: MCU_LED
Added Member To Class: ClassName=MCU_RELAY[1..28] Member=Element[2]: MCU_RELAY
