Change Component Footprint: Designator=C43 Old Footprint=CAP-Elec-10x25-5 New Footprint=cap-Elec-5x7
Change Component Comment : Designator=C43 Old Comment=CAP Elec 1000uF-25V-10x25-THD New Comment=CAP Elec 1000uF-25V-5x7mm-THD
Change component parameters: Designator = "C43" ("C43"); Footprint = "CAP-Elec-10x25-5"; UniqueID = "\KGZSSFSK\UIQKPPGE" ("\KGZSSFSK\UIQKPPGE")
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Linkedin"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://ir.linkedin.com/in/mahdi-bagherzade"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Phone Number"; Value = "0915 8700 314"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Published Date"; Value = "9-15-2024"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publisher"; Value = "Mahdi Bagherzadeh"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Size"; Value = "5x7mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Type"; Value = "THD"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "1000uF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage"; Value = "25V"; VariantName = "[No Variations]"
Added Member To Class: ClassName=Power Member=Component C43 CAP Elec 1000uF-25V-5x7mm-THD
